@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"RT @ShakeOut: Read The Preparedness Guide for People with Disabilities and Access/Functional Needs - vital to #quake prep: http://t.co/X ...","10","2","0","140","22","1","0"
"Subí un video a @YouTube http://t.co/sGUoNzKd 1/3 TERREMOTO 7,6 COSTA RICA - 5 DE SEPTIEMBRE 2012 - Re","7","0","0","103","21","0","1"
"RT @VTVcanal8: IMAGEN - Misión Cumplida: Bomberos, voluntarios y profesionales que extinguieron el fuego en la refinería de Amuay http:/ ...","12","1","1","142","21","0","1"
"RT @ohhmygawdfila: - Cyclone Phailin in India - Typhoon Fitow in China - Typhoon Nari in Vietnam - Earth quake in Philippines  - Typhoon Wi…","15","0","0","142","20","0","0"
"RT @Silver0_1: #PrayForTheUmmah  #Syria #Rohingya (#Burma) #Palestine #Kashmir #Iraq #Afghanistan #Nigeria #Bangladesh  #Muslim  And more...","17","0","0","140","15","10","0"
"Here's a pic of Colorado and the fires from space. http://t.co/QOAfPMoi","5","1","0","71","15","0","1"
"#prayforboston and #prayfortexas so sad.:/","5","0","0","42","5","2","1"
"Colorado wildfires http://t.co/iIzWFN6Q","2","0","0","39","6","0","1"
"Smh Joe Fresh #Bangladesh","4","0","0","25","4","1","0"
"RT @unisdr: 17 Oct NASA image gives an idea of the scale and extent of the bush fires raging in New South Wales #australia http://t.co/EvFD…","16","2","0","142","28","1","1"
"#amuay To all the horny guys lmaooo http://t.co/XL8hvIDp","3","1","0","56","11","1","0"
"Finally arrived! #colorado #roadtrip http://t.co/MK4beSUq","4","1","0","57","8","2","0"
"RT @leeseongyeol_th: [Preview] 131106 LAX Airport - seongyeol http://t.co/a34xSpRSL4 http://t.co/OijlnrUOzR (cr.gelli17) // ถึง LA กันเมื่อ…","10","0","0","164","18","0","0"
"RT @thoughtmarrow: Capitalism Exposed- the politics-administration-media evil nexus #bangladesh #savar #shahbag http://t.co/wmhTViqAsK","13","0","0","134","17","3","0"
"Bangladesh to end search for collapse victims: DHAKA, Bangladesh (AP) — Bangladesh’s military is ending its se... http://t.co/bIs04c5YW0","10","3","0","140","21","0","1"
"RT @sunny_hundal: .@Primarkjobs @Mango @Matalan: ensure safety for workers &amp; compensate victims of building collapse in Bangladesh http…","11","3","0","142","18","0","1"
"Tamerlan Tsarnaev fue enterrado en un cementerio musulmán de Virginia: Los restos de Tamerlan Tsarnaev, presun... http://t.co/iXIjooNR7s","8","1","0","137","21","0","0"
"#KourtneyKardashian is seen arriving at #LAX airport on October 31, 2013 in Los Angeles http://t.co/NVd0gvPZy1","7","3","0","110","18","2","0"
"【三陸南地震】http://t.co/z7EbXzv2　 #earthquake #地震 #thomas_hiatt","5","0","0","78","6","3","0"
"“@angelcapillita: @sevi2h RT @AyAyAyOk #RussianMeteor #метеорит упавший в Челябинске: http://t.co/M4p1Fllg” @MaykaMT","0","0","0","146","10","2","1"
"Charity calls for #UK #retailers to be more accountable in #Bangladesh http://t.co/Maw0RVmFU7","6","2","0","93","15","3","1"
"Russian region begins recovery from meteor damage http://t.co/jp6bf4yx via @usatoday #news","8","1","0","90","14","1","1"
"Nada mejor que empezar el dia con un #temblor #sismo ...","6","1","0","56","10","2","0"
"#Colorado's forecast: mainly Smokey","2","1","0","35","5","1","1"
"RT @Normand55: #LacMégantic Il serait indécent que le Gouv, du Québec ne décrète pas une journée de deuil National","8","0","1","120","25","1","1"
"RT @Baseball_Jesus_: Dzhokhar Tsarnaev should have to take multiple Aroldis Chapman fastballs to the nuts as punishment. #Merica","10","4","0","128","18","1","1"
"Si festeggia il 2 giugno ma si aumenta la benzina??? http://t.co/PeaWFnFt #terremoto #benzina #no2giugno","3","6","3","104","17","3","0"
"RT @troyesivan18: #RussianMeteor A meteor shower has hit Russia, injuring hundreds. A. METEOR. SHOWER. The videos and photos are crazy!  ...","11","4","0","140","20","1","1"
"RT @Microsatira: Nuova accisa di 2 centesimi sulla #benzina. Monti: «Con un #terremoto al mese assesto i conti».","10","2","0","114","18","2","0"
"RT @THEWHATWORKS: Gruesome sensationalist journalism but an insight nonetheless: http://t.co/xBFw66ls8J #Savar Pay your #TShirtTax: https:/…","8","1","0","142","18","2","0"
"#LAX shooting UPDATE checkpoint 1 dead 3 injured. CONFIRMED shooter may be passenger","5","4","0","84","13","1","1"
"Today's Photo - Girafe at the Denver Zoo - Denver, Colorado - http://t.co/AY8jmQsc #tbex #tbexrr #colorado @VisitDenver #photography","16","0","0","132","19","4","0"
"Ascienden 52 los muertos y 1,2 millones de afectados por terremoto en Guatemala:      La cifra de muertos por el... http://t.co/YyCHBArU","8","1","0","136","24","0","1"
"JC Penney Pushes for Audits at Factories in Bangladesh - Wall Street Journal http://t.co/n9untteu9F #Bangladesh","11","0","0","111","17","1","0"
"“@thisisandrej: @rainzilla what if #RussianMeteor hit #poopboat ??” I don't want to. Nasty","5","4","1","94","13","2","0"
"RT @JeriLRyan: SO. COOL. “@AstroTerry: sent from Russia, a pilot took a pic of the #RussianMeteor from the cockpit.  Amazing! http://t.c ...","7","2","1","142","23","1","0"
"Pit stop in #Waco...linkin up w/my potna @DubZeezy b4 iHop back on da road","6","3","0","74","16","1","0"
"RT @alim83: http://t.co/4Q9rDpl8pe This sounds similar to what Jamat Shibir have been doing in #Bangladesh instigating random attacks on po…","9","5","0","142","23","1","0"
"@BravoTangoTees Sara in Colorado Springs ... #BTturns1","4","1","0","54","6","1","0"
"RT @elcomercio: Estados Unidos: Reportan tiroteo en aeropuerto de Los Ángeles http://t.co/uDbkxpe3Gt  #LAX","10","0","0","107","16","1","0"
"RT @noishobdo: #Bangladesh police raid office of protest group http://t.co/lDePhpCVNl","10","0","0","85","13","1","0"
"@noticiarepretel así quedaron mas de 40 tumbas en cementerio de Grecia luego de #terremotocr http://t.co/aKxDRJzP","5","1","0","114","18","1","0"
"RT @Commentaweb: #Terremoto alla maturità solo esami orali http://t.co/mWYoWVbV","4","2","0","80","12","1","0"
"RT @tobycadman: Austria express concern on attacks on minorities, women and journalists  #bangladesh at #UPR2013 and moratorium death penal…","13","1","0","142","19","2","0"
"[Mashable] NASA on Russian Meteor: Why No One Saw It Coming http://t.co/XA0DGrAAv0","5","2","1","82","15","0","1"
"“El abrazo de la muerte” en #Bangladesh http://t.co/la37Z0ymq7 :(","4","0","0","69","11","1","0"
"RT @basherkella: What #Bangladesh govt is next gonna do? Hang @amnesty as well? http://t.co/wHOu2k9psx @hrw #SaveBangladesh","9","3","1","123","19","2","0"
"2.6 - Southern Alaska (Copper Center, AK 99573, USA) - 13/09/12  08:22:57 EDT  Depth: 31.6 km (19.64 mi) http://t.co/1xuH4WB2 #hmrd #Quake","11","1","0","138","29","2","0"
"RT @eddyDRAKE: Oh great #earthquake, let the fb and twitter feed overload","6","1","0","73","12","1","0"
"¿Qué pasó por fin con el asunto del hombre asesinado en la plaza de la cultura? :( #sanjose #costarica","7","1","1","105","18","2","0"
"RT @MediasetTgcom24: #Modena, allarme bomba in centro, nella via dove si trovano gli uffici giudiziari http://t.co/be5OLOdi","7","3","1","123","19","1","0"
"RT @NYMag: One thing we learned from the meteor this morning is that it's almost impossible to startle a Russian. http://t.co/we1DAqC8","7","4","2","134","25","0","0"
"【#USGS #alert】 M 1.1, Southern California: September 12, 2012 10:05:02 GMT http://t.co/2aWCSela #earthquake #tsunami #prayfromjapan","14","0","0","135","21","4","0"
"$$ JLG en concierto?  RT @LucioQuincioC: La fiesta inolvidable de Jose Vicente con Juan Luis,#Amuay ►PROHIBIDO OLVIDAR http://t.co/Q7wmqDPw","10","3","0","141","21","0","0"
"RT+@KCCINews:   #Australia bush #fires blaze in New South Wales http://t.co/9r6lpwXI7o","9","1","0","86","14","2","1"
"Suspect in custody after Los Angeles Airport shooting; multiple victims reported - @CBSLA, @LAX_Official http://t.co/s8dj29G916 #sp4zee","9","2","0","135","18","1","1"
"RT @MajolaB: Abuchear el himno de #CostaRica la selección rival... Por eso somos tercer mundistas y luego critican a Honduras o El Salva ...","8","2","1","141","24","1","0"
"17日11時56分頃 - 最大震度 1 - 震源地 宮崎県南部山沿い http://t.co/yqr4jFsP #地震 #earthquake","0","0","0","113","9","2","0"
"Huge forest fire here in Colorado up in the mountains","4","0","0","53","10","0","1"
"RT @AJELive: Cyclone #Mahasen Update: 2 people killed in #Bangladesh, as cyclone bears down w/ 100kph winds. | Latest update here: http://t…","13","3","0","142","22","2","0"
"RT @prensa_libre: Guatemala manifiesta solidaridad con Costa Rica por terremoto de 7.6 grados http://t.co/U47Hlp91","7","1","0","114","18","0","1"
"How LAX shooter concealed his weapon http://t.co/pTvZdsPpkr November 04, 2013 at 09:31AM","5","1","0","88","16","0","1"
"Starting to think that #Waco was the shit town the Spring breakers broads wanted to get away from","6","5","0","97","18","1","0"
"Meteor jatuh di Russia. Mesti ada Superman dalam meteor tu","0","0","0","58","10","0","1"
"RT @CNNChile: [ACTUALIZADO] Terremoto de 7,6° sacudió a Costa Rica. Onemi mantiene la alerta de tsunami para las costas de Chile. http:/ ...","10","3","0","142","23","0","1"
"RT @MLB: It's going to be a #RedOctober: http://t.co/UpuhJiMYGG","4","3","1","63","13","1","0"
"@CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil #colombia","11","0","0","137","24","5","1"
"RT @interesting_f: A fire in Australia has been burning for more than 5,000 years! #interesting #didyouknow","6","3","0","107","17","2","0"
"RT @Sachez_Le_: Cette petite fille de 8 ans est morte dans les explosions de Boston pendant  qu'elle courait pour la course enfant.. htt ...","7","2","1","140","24","0","0"
"RT @EvilEsq: God misses Washington DC by 5,494 miles:  http://t.co/h7la8n2h #RussianMeteor","7","1","0","90","15","1","0"
"RT @NicoSanRT: Rueda de prensa en #West: primer incendio a las 7:29 hora local, y a las 7:53 primera explosion.","8","0","0","111","22","1","1"
"RT @STVNews: Eight people now confirmed dead in the Glasgow helicopter crash http://t.co/823X2aLZX4","5","2","0","99","16","0","1"
"RT @climavzla: @CNNEE: Tras el sismo d7,9 en #CostaRica hay alertad #tsunami para toda la zona costeradesd #Centroamérica hasta#Brasil h ...","10","0","0","141","23","3","1"
"Live in Toronto? Visit Los Angeles for only $258 on Monday, December 16. Save $54! #flight #deal #YTO #LAX http://t.co/6nYwOU1zBl","12","3","0","129","23","4","0"
"RT @The_Lighthouse: It's a sad day in Glasgow today, our thoughts are with all those affected by last night's tragic event #Clutha","8","3","1","130","24","1","1"
"SAR Chief @SijoGaryFoo just interviewed by @CTVToronto @Ginella_M Here: http://t.co/C7DhgDa6uY #bangladesh building collapsed rescue","9","2","0","132","17","1","1"
"【 #earthquake JP】 Time: 2012/9/19 17:54:24 UTC, Region: Japan, Kochi , Kami , Mw 2.2, Depth： 34.1km, htt... http://t.co/JCYTf1ax","13","0","0","134","25","1","0"
"RT @publisportmx: Se cumplen los 90 minutos reglamentarios, se agregarán 3. #México 1-0 #CostaRica http://t.co/GqyTnrbo","7","2","2","121","21","2","0"
"Costa Rica Earthquake 2012: 7.9 Magnitude Quake Hits Costa Rica http://t.co/pR8CD7CI","8","0","0","84","15","0","1"
"3.5 #EARTHQUAKE #LA #Beverly Hills http://t.co/YAyS5T2i Dang! I Thought Someone TripDD #MeganLochte","8","1","1","99","16","4","0"
"デカイな。でかすぎるぜ、ベクテル！http://t.co/SvC7zoN5　RTx2:　@NewEarthquake  7.9 earthquake, off the coast of Costa Rica. Sep 5 8:42am　http://t.co/mwsMLQ3Z","11","0","0","178","23","0","1"
"RT @kaisha: ok... that was NOT cool!!! :( #earthquake","4","1","0","53","8","1","0"
"#earthquake: M 4.3 - North America United States [California] Scotia: Preliminary Earthquake Report:    Date/Tim... http://t.co/9YMBhrJF","13","0","0","136","19","1","0"
"Goddamnit I thought that was my 9 foot tall neighbor coming home but it was an #earthquake","4","4","2","90","17","1","0"
"RT @FuriousFong: Hypocrisy and deception. All in a days work for @AdamBandt and Greens http://t.co/BiXok6xnCi #auspol #nswfires","7","2","0","127","20","2","0"
"Se me hace que te la voy a #метеорит","1","2","4","44","8","1","0"
"RT @Angry_BD: #Fascist police harassed the relatives of the victim during funeral prayer! http://t.co/GdNAgka2kq #PoliceState #Bangladesh #…","11","1","0","142","19","4","0"
"Terrifying events this week. Prayers go out to all of the victims and their families!  #waco #Boston","7","2","0","100","17","2","1"
"I GET 4685 REALL FOLLOWERS! http://t.co/cy2AAVRqor  ✈Ken Jeong,Mr. Chow,#UpdatedObamacareSlogans,#LAX,TSA,#BC13,#NoSh http://t.co/huuyZU6XlO","9","1","2","142","22","0","0"
"RT @NSWRFS: Emergency Warning - Gateshead fire (Lake Macquarie) http://t.co/ODCMq9yEUD Evacs centres now open #NSWRFS #nswfires","11","3","0","127","18","2","1"
"GodOfTheJews: 6.0 - Kuril Islands #earthquake #ubAlert http://t.co/9EQIcYkk http://t.co/kXMq64FC","7","0","0","96","15","2","0"
"“@lewshort14: 193 homes confirmed lost in #NSWbushfires #NSWRFS http://t.co/YagXbi52FJ @abcnews” amazed more lives weren't lost.","6","4","0","132","19","2","1"
"RT @Meganoticiascl: EN DESARROLLO Terremoto 7,9 grados se registró en Costa Rica. Activan alerta de Tsunami para Centro América y Sudamé ...","10","2","1","143","23","0","1"
"RT @janisctv: Head of official inquiry into Bangladesh factory collapse says building's owner was the main culprit http://t.co/67qsMhTPIM @…","10","3","0","142","22","0","1"
"#CostaRica vs #México  Costa rica ya siente los pasos del gigante  No se espanten ticos @azulinforma http://t.co/sbYYpU44","7","4","2","122","21","2","0"
"@MaryShavezka tu horóscopo te aguarda en mi TL, reinita, guardate de los #метеорит  porque podrán caer en tu país.","6","4","1","125","21","1","0"
"Check it out @DJPaulyD  #RussianMeteor video - Camera man Speaking Russian says Yeah Buddy. Awsome. #infultrated :-) http://t.co/q3npnlNL","11","4","1","137","19","2","0"
"RT @JxstinCostanza: HAHAHA FOUND THIS ON FACEBOOK I CAN'T STOP LAUGHING. #sghaze http://t.co/7R3QGpYVaY","7","4","1","103","17","1","1"
"RT @BreakingNews: Report: Bangladesh rescuers say they may have found survivor in rubble 17 days after building collapse - @AP","10","5","1","126","19","0","1"
"Most destructive ever Colorado wildfire burns 181 homes http://t.co/D7pnuBOD via @msnbc_us","4","1","0","90","14","0","1"
"RT @sismos_dot_cl: 116 km al NO de Quillagua http://t.co/6VjU56IE #Terremoto #Temblor  #sismos #chile #sismo","12","1","0","108","17","5","0"
"LAX shooting suspect says he acted alone http://t.co/Iv5tGEaGqV http://t.co/m3fniNDXct","3","4","1","86","15","0","1"
"RT @JackLindstrom94: People can chill about Boston Marathon. More people have got injured from Justin bieber smoking pot so cool that shit.","11","5","0","139","22","0","1"
"RT @TWCBreaking: Mag. 7.9 #earthquake just off the coast of Costa Rica.  #Tsunami warnings for Pacific Coast of Mexico, C. America. S. A ...","17","1","0","140","24","2","1"
"#AJstream I'm black, African, I understand #RedOctober and its not only happening in South Africa, with less violence though.","4","4","2","125","20","2","0"
"RT @9NewsSyd: UPDATE: #GreatWesternHighway open however all motorists advised to avoid non-essential travel- via: @LiveTrafficSyd #nswfires","7","3","0","139","17","2","1"
"At least 4 people killed after 7.2 #earthquake hits central #Philippines. #least (http://t.co/3UVVRfBCDs)","5","2","0","105","17","3","1"
"RT @EvgeshaLoves1D: #RussianMeteor Пострадали 524 человека, из них 67 детей. Господи Боже, пусть с этими людьми всё будет хорошо! И зн ...","0","0","0","211","5","1","1"
"RT @insidER_ricerca: Studio le rocce del #terremoto passato per capire il presente. Intervista a Francesca Remitti, geologa: http://t.co ...","7","3","0","140","20","1","0"
"A bicha velha do @eduardohomem41 tem um caso amoroso com o Eduardo Paes e será processada pelo @DeputadoFederal #Calúnia #SantaMaria","10","2","0","134","21","2","0"
"RT @TWCBreaking: Sad news to report from #Guatemala - at least 8 confirmed dead, possibly more, by this morning's major earthquake.","7","3","0","131","21","1","1"
"RT @denverpost: Colorado wildfire: High Park Fire in Larimer County now up to 36,000 acres burned http://t.co/JndQLSTU","10","1","0","118","21","0","1"
"Bangladesh building collapse death toll hits 359 - http://t.co/Uc5OWpRD8Z http://t.co/BElStw4XK0","7","1","0","96","15","0","1"
"Japan Announces Designs For Coins Commemorating The Tohoku Earthquake And Tsunami #Japan #earthquake  http://t.co/46Tbxasn","11","1","0","122","17","2","0"
"#Earthquake Magnitude  M  5.1Region  SOUTH OF JAVA, INDONESIADate time  2012-09-15   17:35:41.0 UTCLocation  11.... http://t.co/HcfD7i2Y","8","0","0","144","23","1","0"
"RT @FotosDeNatGeo: Momento en el que se expande el humo de la explosión en Waco, Texas: http://t.co/fFikHBQ4lF","6","1","2","111","21","0","0"
"RT @LibertySurfer: Crude Oil Train Derailment Prompts Massive Evacuation in Canada http://t.co/pgpE0qrPwa","10","0","0","105","15","0","0"
"Bangladesh, le vittime del crollo del Rana Plaza ricattate dai datori di lavoro - Corriere.it http://t.co/NhvoDzwc3O via @Corriereit","10","3","0","132","21","0","1"
"RT @politico: LAX evacuated after multiple TSA agents and a suspect were shot. Via @PoliticoKevin: http://t.co/FHtnXt7wYQ","7","3","0","121","19","0","1"
"Meteor Energy Data: We have some of the particulars on the Russian meteor impact, I was waiting for a bit more s... http://t.co/VRa683iY","8","3","2","136","26","0","1"
"Collapsed building owner's property to be seized: SAVAR, Bangladesh (AP) — A top court in Bangladesh asked the... http://t.co/9MFecrGU06","9","4","0","138","22","0","1"
"RT @NTelevisa_com: Rick Perry declara estado de emergencia a West, Texas por la explosión en una planta de fertilizante","11","1","0","120","20","0","0"
"RT @Daily_Record: Good morning. Terrible news overnight about the helicopter crash in Glasgow city centre. We will bring you all the news a…","10","2","2","142","23","0","1"
"#cuba #CHILE Videos of meteor fireball screams across the sky in Russia: Visit http://t.co/sZmUrzr9 f... http://t.co/hNQdjasb #NOALTIRANO","11","2","0","137","23","3","1"
"RT @Radio_Riquelme: @Reuters Pacific Tsunami Warning Center keeps warning for Pacific coastal region following Costa Rica earthquake htt ...","12","3","0","140","18","0","1"
"Bangladesh Factory Ignored Evacuation Order Day Before Collapse http://t.co/ULFcXwL9i0 via @HuffPostBiz","7","1","0","103","14","0","1"
"RT @rauldemolina: Pistolero con rifle en manó disparo cerca de las puerta 35 de el aeropuerto de  #LAX  Muerto y heridos","10","1","0","121","21","1","0"
"RT @SISEGRA: Abrirán tres investigaciones por explosión en refinería de Amuay http://t.co/AxnlbK9G","7","0","0","101","18","0","1"
"RT @omgearthquake: 3.0 earthquake in Puerto Rico region - USGS link: http://t.co/MGqr4r5t #quake","8","1","0","96","16","1","0"
"Katie and I raging at Dia!!!  #dia #baylor #luxurylites #Luxurylites #ehookah #waco #yinyangtwins… http://t.co/I9egTuRjzw","10","4","1","123","17","7","0"
"BREAKING NEWS!!!!!!! 7 Injured at LAX, 2 Dead: TSA Agent, Shooter – Watch the Chaos: Video: UP... http://t.co/cHy165dApz #news #omg #bet","16","2","0","138","23","3","1"
"Aumenta a 44 el número de muertos por terremoto en Guatemala http://t.co/kvZBDaUq","5","1","0","82","16","0","1"
"Also St.nino church (The oldest church in the Philippines) nasira dinsya pumunta din kmi dun nung sat. ang ganda panaman:((( #PrayForVisayas","0","0","0","140","22","1","1"
"RT @thinkprogress: As Bangladesh death toll exceeds 300 from factory collapse, U.S. retailers refuse new safety standards http://t.co/kxSSa…","12","2","0","142","22","0","1"
"[travels back to November 2012] so yeah the Russian meteor that hasn't crashed yet is actually Mitt Romney's political career","5","4","0","125","22","0","1"
"@robinince Hi Robin any chance of a RT. http://t.co/zX7bCc2KCV Clutha house bands benefit album 4 the victims of the helicopter crash.","11","1","0","134","24","0","1"
"RT @MeusPensadores: Ajudem os acidentados de Santa Maria doando sangue! → Av. Pres. Vargas, 2291 - Santa Maria - RS, 97015-513 #SantaMaria","9","3","1","140","20","1","1"
"Lista para el himno nacional #CostaRica #quelindosertico","5","0","0","56","7","2","0"
"CAUGHT ON CAMERA: Fertilizer Plant Explosion Near Waco, Texas http://t.co/TkyfLST8QS via @youtube @imarlenequinto","8","1","0","113","16","0","1"
"Christians respond as Colorado wildfires spread: The Billy Graham Rapid Response Team is in Colorado and New Mex... http://t.co/G3OU6rjn","12","3","0","136","22","0","1"
"RT @WHATDAFAQSHOW: In Russia... the earth hits the meteor my frend","5","1","0","66","11","0","1"
"RT @yetimcocuk: #Bangladeş #bangladesh ...! http://t.co/i4TN6dVSUs","0","0","0","67","8","2","0"
"RT @PhilippeStoll: MT @Kirstenmildren: map of the projected tropical cyclone that is expected to hit #Bangladesh &amp; #Myanmar http://t.co/3c0…","11","4","0","146","22","2","0"
"RT @ansa_live: Terremoto in Guatemala: almeno 48 morti, 23 i dispersi: Presidente, bilancio potrebbe aggravarsi http://t.co/0hTFhXPv","8","0","0","132","19","0","1"
"RT @sergiod26: en el brete se cayeron las torres y todos los caballos salieron corriendo... #TemblorCR http://t.co/RpvH01QA","5","2","1","123","20","1","1"
"Colorado wildfire worsens, forcing 7,000 more from homes - Terra USA  http://t.co/KnMQZpNp via @TerraNoticiasUS","8","1","0","111","17","0","1"
"RT @nswfire: #nswfires #agchatoz  Animal welfare relief services: Department of Primary Industries 1800 808 095 Website http://t.co/BV5dBVU…","15","0","0","142","20","2","1"
"RT @WilliamJHague: My thoughts are with those who have lost their lives following building collapse in Savar #Bangladesh","9","5","0","120","18","1","1"
"RT @BBCScotlandNews: Although one person confirmed  dead by police, BBC understands death toll at least three. #clutha #helicoptercrash htt…","8","4","0","142","19","2","1"
"#Helicopter lol :) http://t.co/AIuKIE8yyR","3","0","0","41","6","1","0"
"Greeley #Colorado #Tonight In-store @ Blacklist Skateshop #MusicIsMyWeapon T's 6pm &amp; show @ Sky Night Club 9pm","16","1","0","114","17","3","0"
".@thedirtydash is now Sept 1 in Colorado Springs - want an entry? Giveaway ends Fri. http://t.co/IBFoLP5g #FitFluential #FHBC12 #spon","11","4","0","133","21","3","0"
"RT @biobio: [ACTUALIZADA+FOTOS] Principales medios de Costa Rica inhabilitados tras fuerte terremoto http://t.co/2N2H3mzr","7","1","0","121","17","0","1"
"#bdnews #bangladesh Bangladesh to Allow Unions for Workers: Bangladesh agrees to allow garment workers to form... http://t.co/P2hZxWtMp0","11","4","0","136","20","2","0"
"RT @frafacchinetti: C'è stata un'altra scossa?#Terremoto","1","3","0","57","8","0","1"
"RT @russian_market: BOMB EXPLOSION IN BOSTON (via @samsteinhp @jonward11 @nightshiftpol) http://t.co/MbDcEEQ1a2","9","0","0","111","14","0","1"
"FMイヤホンラジオ、三徳ナイフ、ホイッスル、IDケース、LEDライト(日本製LED使用)、サバイバルシート(防寒・保温シート)、カラビナ付ケースのセットです。 http://t.co/tpla3W3o #saigai #earthquake #jishin #地震 #災害","0","0","0","274","11","5","0"
"#Temblor♨ M 4.9, 223km NW of Saumlaki, Indonesia http://t.co/gKSGUBAP #Earthquake #Sismo","9","1","0","90","15","3","0"
"Wow! - I hate this particular  #RussianMeteor http://t.co/9qlzRdPj","2","1","1","66","10","1","0"
"@tobeymonster Fire erupts amid Bangladesh building wreckage: Flames break out at site of last week's building collapse in...  @lifestr3am","10","2","0","137","20","0","1"
"#Earthquake# M 4.6, 105km NNE of Road Town, British Virgin Islands: Wednesday, September 05, 2012 00:24:51 UTCTuesday, September 04, ...","12","0","0","136","22","1","0"
"@FotoBridge Have you eve wondered where you draw your inspiration from? http://t.co/wsJBoYDb #photography #travel #costarica #panama #RT","9","4","2","136","20","5","0"
"#terremoto M 2.8, Central California - Wednesday, September  5, 2012 12:31:07 UTCWednesday, September  5, 2012 05:31... http://t.co/SJLeuCZR","9","0","0","140","23","1","0"
"http://t.co/fmsx4KHb  #RussianMeteor It's #NationalKissABaseballPlayerDay. Find me one and he can get clear to third base. ;)","5","4","3","125","19","2","0"
"Feck Me!!!!!  CBC News - Police helicopter crashes into Clutha Vaults pub in Glasgow http://t.co/Z0fjjhIyhl","10","1","1","107","17","0","1"
"The News Said that Was An Beverly Hills #EarthQuake (Prelim 3.5-Mag)","6","1","0","68","13","1","0"
"RT @NSWRFS: Advice - Hungerford Creek Fire (Muswellbrook) http://t.co/XUmoiJXFBa The immediate threat to properties has eased. #NSWRFS #nsw…","10","4","0","142","20","2","1"
